starting_url,link_tree,degrees,href_count
Prideaux Oil Field - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
Mountain River (suba sa Jamayka) - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Walog'], []]",-2,1
Silene velenovskyana - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Tubud'], []]",-2,1
Discodermia panoplia - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
Amanak (suba sa Rusya) - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Niām Garr - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Langaw'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Eugnathus tenuipes - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Lungsod'], ['https://ceb.wikipedia.org/wiki/Pagdumala'], ['https://ceb.wikipedia.org/wiki/Korporasyon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,6
"Storhelleren (bungtod sa Noruwega, Sogn og Fjordane Fylke) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Tinipong_Bansa'], ['https://ceb.wikipedia.org/wiki/Ininggles'], ['https://ceb.wikipedia.org/wiki/Inglatera'], ['https://ceb.wikipedia.org/wiki/Hiniusang_Gingharian'], ['https://ceb.wikipedia.org/wiki/Iningles'], ['https://ceb.wikipedia.org/wiki/Inglatera']]",-1,6
Manuinzi - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bakukangon'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Anchonus cornutus - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Alindahaw'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Onthophagus carpanetoi - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Insekto'], ['https://ceb.wikipedia.org/wiki/Klase_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Cephodapedon - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
"Buck Creek (suba sa Tinipong Bansa, Georgia, Wheeler County) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Kanal'], []]",-2,1
Golębica - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Tumoy_sa_bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
Chelekule - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Nepiomorpha annulata - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Alemanya'], ['https://ceb.wikipedia.org/wiki/Inaleman'], ['https://ceb.wikipedia.org/wiki/Alemanya']]",-1,3
"Haupiri River (suba, lat -42,52, long 171,78) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Kanada'], ['https://ceb.wikipedia.org/wiki/Amihanang_Amerika'], ['https://ceb.wikipedia.org/wiki/Kontinente'], ['https://ceb.wikipedia.org/wiki/Asya'], ['https://ceb.wikipedia.org/wiki/Kontinente']]",-1,5
"Quebrada Mamonal (suba nga anhianhi sa Estado Lara, lat 10,31, long -69,63) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Lungsod'], ['https://ceb.wikipedia.org/wiki/Pagdumala'], ['https://ceb.wikipedia.org/wiki/Korporasyon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,6
Chasminodes bremeri - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Lungsod'], ['https://ceb.wikipedia.org/wiki/Pagdumala'], ['https://ceb.wikipedia.org/wiki/Korporasyon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,6
"Hase-damu (alihan sa tubig sa Hapon, Nara-ken) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
Claoxylon albicans - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
"Lomas Blancas (lungsod sa Mehiko, Estado de Guerrero) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
,"[['https://ceb.wikipedia.org/wiki/Uhong'], []]",-2,1
Estelnic - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Lanaw'], []]",-2,1
Mikania iquitosensis - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,11
